0.013020,0.001449,-0.119904
0.012891,0.001367,-0.119690
0.012770,0.001288,-0.119507
0.012656,0.001216,-0.119324
0.012444,0.001089,-0.119080
0.012347,0.001034,-0.119019
0.012347,0.001034,-0.119019
0.012255,0.000986,-0.118958
0.012084,0.000903,-0.118927
0.012005,0.000867,-0.118866
0.012005,0.000867,-0.118866
0.011930,0.000835,-0.118866
0.011857,0.000804,-0.118866
0.011720,0.000757,-0.118988
0.011655,0.000739,-0.119049
0.011593,0.000727,-0.119171
0.011534,0.000721,-0.119293
0.011477,0.000719,-0.119446
0.011373,0.000723,-0.119720
0.011330,0.000730,-0.119904
0.011330,0.000730,-0.119904
0.011254,0.000749,-0.120300
0.011186,0.000780,-0.120789
0.011186,0.000780,-0.120789
0.011186,0.000780,-0.120789
0.011128,0.000824,-0.121338
0.011128,0.000824,-0.121338
0.011104,0.000850,-0.121613
0.011081,0.000882,-0.121918
0.011042,0.000956,-0.122559
0.011042,0.000956,-0.122559
0.011028,0.000997,-0.122894
0.011028,0.000997,-0.122894
0.011028,0.000997,-0.122894
0.011018,0.001039,-0.123260
0.011013,0.001082,-0.123657
0.011013,0.001082,-0.123657
0.011012,0.001128,-0.124054
0.011012,0.001128,-0.124054
0.011012,0.001176,-0.124451
0.011014,0.001224,-0.124878
0.011024,0.001272,-0.125305
0.011054,0.001372,-0.126190
0.011054,0.001372,-0.126190
0.011054,0.001372,-0.126190
0.011097,0.001486,-0.127136
0.011097,0.001486,-0.127136
0.011122,0.001547,-0.127625
0.011149,0.001610,-0.128113
0.011176,0.001674,-0.128571
0.011203,0.001738,-0.128967
0.011232,0.001817,-0.129303
0.011137,0.001801,-0.128845
0.011014,0.001707,-0.128082
0.011014,0.001707,-0.128082
0.010893,0.001612,-0.127228
0.010774,0.001515,-0.126251
0.010654,0.001417,-0.125214
0.010505,0.001285,-0.123932
0.010089,0.000908,-0.119812
0.010089,0.000908,-0.119812
0.009952,0.000779,-0.118317
0.009814,0.000647,-0.116760
0.009525,0.000363,-0.113373
0.009373,0.000208,-0.111572
0.009049,-0.000134,-0.107758
0.008879,-0.000318,-0.105743
0.008699,-0.000513,-0.103638
0.008506,-0.000722,-0.101501
0.008301,-0.000943,-0.099274
0.007850,-0.001420,-0.094604
0.007602,-0.001678,-0.092194
0.007339,-0.001949,-0.089722
0.006771,-0.002523,-0.084595
0.006463,-0.002824,-0.081940
0.006142,-0.003134,-0.079254
0.005805,-0.003452,-0.076508
0.005805,-0.003452,-0.076508
0.004692,-0.004449,-0.067963
0.004291,-0.004793,-0.065033
0.003879,-0.005147,-0.062042
0.003016,-0.005866,-0.055969
0.002569,-0.006229,-0.052887
0.002113,-0.006591,-0.049744
0.001647,-0.006952,-0.046570
0.000690,-0.007661,-0.040131
0.000204,-0.008008,-0.036865
-0.000283,-0.008349,-0.033569
-0.000773,-0.008684,-0.030243
-0.001751,-0.009337,-0.023529
-0.002238,-0.009653,-0.020142
-0.002723,-0.009962,-0.016693
-0.003203,-0.010267,-0.013214
-0.003679,-0.010240,-0.005768
-0.003911,-0.010230,-0.002045
-0.004139,-0.010225,0.001678
-0.004360,-0.010225,0.005432
-0.004785,-0.010244,0.012909
-0.004986,-0.010265,0.016693
-0.005179,-0.010295,0.020477
-0.005363,-0.010335,0.024261
-0.005700,-0.010449,0.031860
-0.005853,-0.010524,0.035645
-0.005853,-0.010524,0.035645
-0.006126,-0.010711,0.043182
-0.006350,-0.010948,0.050873
-0.006447,-0.011087,0.054688
-0.006447,-0.011087,0.054688
-0.006600,-0.011404,0.062286
-0.006600,-0.011404,0.062286
-0.006755,-0.011964,0.073669
-0.006755,-0.011964,0.073669
-0.006822,-0.012380,0.081207
-0.006822,-0.012380,0.081207
-0.007414,-0.013646,0.089630
-0.007694,-0.014273,0.093811
-0.007964,-0.014891,0.097961
-0.008228,-0.015499,0.102051
-0.008735,-0.016681,0.110260
-0.008982,-0.017254,0.114319
-0.009226,-0.017815,0.118378
-0.009470,-0.018360,0.122375
-0.009960,-0.019400,0.130341
-0.010208,-0.019891,0.134277
-0.010460,-0.020366,0.138153
-0.010716,-0.020822,0.142029
-0.011240,-0.021683,0.149689
-0.011509,-0.022088,0.153442
-0.011785,-0.022477,0.157196
-0.012067,-0.022850,0.160889
-0.012067,-0.022850,0.160889
-0.012937,-0.023896,0.171753
-0.012937,-0.023896,0.171753
-0.013236,-0.024222,0.175293
-0.013538,-0.024539,0.178864
-0.014157,-0.025159,0.185822
-0.014471,-0.025464,0.189270
-0.014786,-0.025769,0.192657
-0.015103,-0.026077,0.196014
-0.015744,-0.026709,0.202637
-0.016067,-0.027036,0.205872
-0.016389,-0.027370,0.209137
-0.016710,-0.027711,0.212372
-0.017352,-0.028422,0.218689
-0.017669,-0.028791,0.221802
-0.017981,-0.029176,0.224854
-0.018289,-0.029572,0.227875
