timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],latitude_deg,longitude_deg,altitude_msl_m,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,lat,lon,alt,motor_failure_flag,failed_motor
1731240684592223,0.002762898,-0.00810938,-0.0013209669,-0.16160876,0.17481533,-9.963517,47.3977508,8.5456074,488.092,0.0,-0.019999999552965164,0.009999999776482582,-0.029999999329447746,47.397750806235436,8.5456073228952,488.1366271972656,0,0
1731240684891832,0.0024965818,-0.003049373,-0.0018536042,-0.14604646,0.18798345,-9.93718,47.3977508,8.5456075,488.091,0.0,0.019999999552965164,0.009999999776482582,0.0,47.39775075481795,8.545607335808858,488.13934326171875,0,0
1731240685294415,0.003295532,-0.004913586,1.0609774e-05,-0.12928702,0.13052258,-9.951545,47.3977508,8.5456074,488.096,0.0,0.0,0.0,0.019999999552965164,47.39775078179519,8.54560740054498,488.1432189941406,0,0
1731240685694501,0.19051574,0.011598019,0.0016086784,-0.15921454,0.12214288,-10.358559,47.3977508,8.5456074,488.09700000000004,0.0,0.009999999776482582,-0.019999999552965164,0.009999999776482582,47.397750815788264,8.545607452082296,488.1421813964844,0,0
1731240686094170,-0.19724049,-0.15005584,-0.0021198916,-0.06584067,0.12812838,-10.8541565,47.397750699999996,8.5456074,488.13800000000003,0.07999999821186066,-0.05999999865889549,-0.019999999552965164,-0.10999999940395355,47.39775061429027,8.54560719891226,488.1891174316406,0,0
1731240686494589,-0.02520029,-0.0062451605,-0.007179949,-0.09457108,0.12333997,-9.880916,47.397749999999995,8.5456068,488.257,0.2800000011920929,-0.23999999463558197,-0.14000000059604645,-0.4699999988079071,47.39775012036743,8.5456066231905,488.34173583984375,0,0
1731240686894477,-0.035054,-0.02382202,-0.0055820053,-0.11372471,0.119748674,-10.187373,47.3977492,8.545606099999999,488.46500000000003,0.22999998927116394,-0.19999998807907104,-0.10999999940395355,-0.5600000023841858,47.39774949060658,8.545606116746965,488.5470275878906,0,0
1731240687291761,-0.013482393,-0.00837568,-0.001320972,-0.12330152,0.16284432,-10.050904,47.3977486,8.545605499999999,488.713,0.14000000059604645,-0.12999999523162842,-0.04999999701976776,-0.6899999976158142,47.39774896266503,8.545605776149273,488.78363037109375,0,0
1731240687693805,0.0070239548,0.0012116848,-0.0015872864,-0.13886382,0.19396892,-9.908448,47.3977484,8.5456053,488.988,0.019999999552965164,0.0,-0.009999999776482582,-0.6699999570846558,47.39774867575193,8.54560567620523,489.0545349121094,0,0
1731240688094217,0.021138709,-0.0030493876,-0.002119921,-0.11133052,0.24185297,-9.8881,47.3977485,8.5456053,489.267,0.07000000029802322,0.03999999910593033,0.009999999776482582,-0.7099999785423279,47.397748750990004,8.545605739993938,489.32305908203125,0,0
1731240688493493,0.015279752,-0.0094409585,-0.0042504515,-0.17118554,0.23107901,-9.815072,47.397748899999996,8.545605499999999,489.539,0.14000000059604645,0.11999999731779099,0.03999999910593033,-0.6699999570846558,47.39774900162718,8.545605868066776,489.5835266113281,0,0
1731240688893488,0.019807132,0.0025432485,0.00080957555,-0.15682034,0.24903555,-9.787541,47.397749499999996,8.5456056,489.798,0.17000000178813934,0.17999999225139618,0.04999999701976776,-0.6200000047683716,47.39774938966616,8.545606041527359,489.8309631347656,0,0
1731240689294003,0.029128186,-0.012370449,-0.00025570972,-0.15801744,0.22868483,-8.661069,47.397750099999996,8.545606,490.017,0.17000000178813934,0.17000000178813934,0.03999999910593033,-0.5,47.397749976175966,8.545606253671604,490.0342712402344,0,0
1731240689690665,0.0160787,-0.0067778025,-0.0021199298,-0.15442614,0.21791095,-10.146671,47.397750599999995,8.5456063,490.13800000000003,0.14999999105930328,0.14999999105930328,0.07000000029802322,-0.17000000178813934,47.39775054063553,8.54560645435288,490.1233825683594,0,0
1731240690091180,0.0075565847,0.0065380083,-0.0010546533,-0.14604644,0.20593996,-9.9132395,47.397751,8.5456068,490.206,0.10999999940395355,0.07000000029802322,0.04999999701976776,-0.17000000178813934,47.39775099170691,8.545606743696387,490.2069396972656,0,0
1731240690491505,-0.005759221,-0.0067777946,-0.0029188571,-0.11851311,0.17960371,-9.913237,47.397751199999995,8.545607,490.259,0.07000000029802322,0.029999999329447746,0.05999999865889549,-0.17000000178813934,47.39775120065302,8.54560699940553,490.27911376953125,0,0
1731240690892454,-0.0036286896,-0.0014514761,0.0002769311,-0.12689285,0.122142896,-9.904859,47.397751199999995,8.5456073,490.326,0.04999999701976776,0.0,0.07000000029802322,-0.1599999964237213,47.39775124085261,8.545607255910234,490.3391418457031,0,0
1731240691293380,-0.005492901,-0.0006525313,0.00027692702,-0.11851309,0.12573418,-9.891688,47.3977511,8.5456077,490.373,0.04999999701976776,-0.03999999910593033,0.029999999329447746,-0.12999999523162842,47.39775120061351,8.545607561517551,490.3908996582031,0,0
1731240691693411,-0.008156059,-0.012104123,-0.00052201917,-0.1209073,0.18918051,-9.9060545,47.3977509,8.545607799999999,490.419,0.05999999865889549,-0.05999999865889549,0.019999999552965164,-0.09999999403953552,47.397751062427496,8.545607727140581,490.43511962890625,0,0
1731240692093531,-0.009487648,-0.007843057,-0.0002557074,-0.11731601,0.16045009,-9.943165,47.397750699999996,8.545607799999999,490.46500000000003,0.05999999865889549,-0.05999999865889549,0.0,-0.07000000029802322,47.397750852160264,8.545607787307757,490.4700622558594,0,0
1731240692494131,-0.0014981637,-0.008375691,-0.00025570608,-0.09576819,0.14488779,-9.9060545,47.3977505,8.545607799999999,490.498,0.04999999701976776,-0.07000000029802322,-0.019999999552965164,-0.11999999731779099,47.39775064887814,8.545607771078961,490.4977722167969,0,0
1731240692891169,-0.006025537,-0.008109377,-0.0015872811,-0.093374,0.13890229,-9.944362,47.3977503,8.5456077,490.52500000000003,0.029999999329447746,-0.03999999910593033,-0.019999999552965164,-0.05999999865889549,47.397750438755715,8.545607686755057,490.5264587402344,0,0
1731240693291476,0.004360798,-0.008375693,-0.00025570593,-0.12330151,0.17601241,-9.95274,47.3977502,8.5456075,490.544,0.019999999552965164,0.0,-0.019999999552965164,-0.05999999865889549,47.39775032862743,8.545607595314245,490.5467834472656,0,0
1731240693691467,0.005958691,-0.012903071,0.0005432397,-0.11492183,0.22150227,-9.950348,47.3977502,8.5456075,490.567,0.019999999552965164,0.0,-0.019999999552965164,-0.04999999701976776,47.39775032721966,8.545607488452447,490.5638122558594,0,0
1731240694091657,0.00089868024,-0.0067778,0.0034727154,-0.10893632,0.17002691,-9.906055,47.3977503,8.5456074,490.589,0.019999999552965164,0.03999999910593033,-0.009999999776482582,-0.029999999329447746,47.397750349250224,8.545607407853984,490.577880859375,0,0
1731240694492342,0.009953435,-0.0062451633,-0.000788342,-0.12569572,0.18558922,-9.927602,47.3977504,8.5456073,490.599,0.019999999552965164,0.04999999701976776,-0.009999999776482582,-0.07000000029802322,47.39775046326228,8.545607377106768,490.58782958984375,0,0
1731240694894159,0.005692375,-0.01077254,0.0024074533,-0.11851313,0.16643564,-9.92042,47.3977505,8.5456073,490.628,0.019999999552965164,0.0,0.0,-0.04999999701976776,47.39775062444262,8.545607347778,490.6007995605469,0,0
1731240695291161,-0.0060255313,-0.0057125404,0.00080955506,-0.12330152,0.1616472,-9.913238,47.397750599999995,8.5456073,490.628,0.009999999776482582,0.019999999552965164,-0.009999999776482582,-0.04999999701976776,47.3977506565558,8.545607342400578,490.6108703613281,0,0
1731240695690105,0.002762896,-0.012903071,0.0032063948,-0.12210442,0.1484791,-9.931193,47.3977505,8.5456074,490.64300000000003,0.009999999776482582,0.0,0.009999999776482582,-0.04999999701976776,47.39775066972857,8.545607302858436,490.61846923828125,0,0
1731240695890977,-0.0012318447,-0.0030493743,-0.00025570707,-0.14365223,0.17122406,-9.965911,47.397750599999995,8.5456075,490.649,0.009999999776482582,0.0,0.029999999329447746,0.0,47.397750662018666,8.545607303100267,490.6220397949219,0,0
1731240696290382,9.9730685e-05,0.005739056,-0.00078833464,-0.098162405,0.19516602,-9.894084,47.397750599999995,8.5456076,490.664,0.019999999552965164,0.0,0.019999999552965164,-0.009999999776482582,47.39775063533995,8.54560743465057,490.6263427734375,0,0
1731240696693598,-0.0009655235,-0.0081093805,0.00027692548,-0.0969653,0.1688298,-9.941967,47.397750599999995,8.5456077,490.659,0.019999999552965164,0.0,0.029999999329447746,0.0,47.39775062980196,8.545607555171985,490.6279602050781,0,0
1731240697093164,0.001431316,0.00014642219,-0.0029188665,-0.1029508,0.16763271,-9.965908,47.397750599999995,8.545607799999999,490.666,0.019999999552965164,0.0,0.009999999776482582,0.0,47.39775064164433,8.545607667985244,490.62799072265625,0,0
1731240697492668,0.0016976321,-0.0027830568,1.0609463e-05,-0.117316045,0.17122403,-9.953939,47.397750699999996,8.545608,490.68,0.019999999552965164,0.009999999776482582,0.0,-0.019999999552965164,47.397750649308534,8.545607747648402,490.629638671875,0,0
1731240697893023,0.0035618441,-0.008109379,0.0002769242,-0.1017537,0.17840664,-9.921617,47.3977508,8.545608,490.684,0.019999999552965164,0.009999999776482582,0.009999999776482582,-0.019999999552965164,47.39775068937127,8.545607764237188,490.6344299316406,0,0
1731240698294213,-0.00043289596,0.00041273976,-0.0005220237,-0.105344996,0.1544646,-9.913237,47.3977508,8.545608,490.706,0.019999999552965164,0.019999999552965164,0.009999999776482582,-0.05999999865889549,47.39775072901345,8.5456077919812,490.6394958496094,0,0
1731240698693419,0.0064913225,-0.011038853,-0.007446243,-0.11731602,0.14847909,-9.943163,47.3977509,8.545608099999999,490.72200000000004,0.019999999552965164,0.0,0.009999999776482582,-0.05999999865889549,47.39775078960543,8.545607851451459,490.6462097167969,0,0
1731240699093801,-0.00016657915,-0.00331569,-0.0002557026,-0.105344996,0.1616472,-9.909646,47.397751,8.5456082,490.723,0.009999999776482582,0.009999999776482582,0.0,0.0,47.39775082136311,8.545607904204472,490.6537170410156,0,0
1731240699491742,0.0035618427,-0.005712534,-0.0007883396,-0.087388486,0.1412965,-9.92401,47.397751,8.5456082,490.731,0.009999999776482582,0.0,0.0,-0.029999999329447746,47.39775085668685,8.545607913924982,490.6544494628906,0,0
1731240699891351,0.001697633,-0.0030493683,0.0032064058,-0.08738847,0.1664356,-9.921617,47.397751,8.5456083,490.741,0.0,0.0,0.009999999776482582,-0.029999999329447746,47.39775087382439,8.545607927102854,490.6581115722656,0,0
1731240700293880,0.0027628974,-0.0067777974,-0.0018536111,-0.099359475,0.1915747,-9.99823,47.397751,8.545608399999999,490.76,0.0,-0.009999999776482582,0.0,-0.03999999910593033,47.397750877840245,8.54560795920142,490.6587219238281,0,0
1731240700693671,-2.4585395,1.1178769,-0.81888324,0.004788279,0.17601226,-1.0487051,47.3977511,8.5456083,490.74,0.029999999329447746,0.05999999865889549,-0.009999999776482582,0.44999998807907104,47.39775099578238,8.545607825010539,490.45538330078125,1,2
1731240701093642,-4.958432,0.6339706,-1.5489093,-0.4201825,0.5519018,-0.41424158,47.3977515,8.545608,489.84700000000004,0.2800000011920929,0.2199999988079071,-0.14000000059604645,4.009999752044678,47.397751578312295,8.545607212076145,489.048828125,1,2
1731240701492673,0.0030292126,-0.0030493725,-0.00025570666,-0.12210442,0.20234829,9.6940775,47.3977527,8.5456063,488.11,0.0,0.019999999552965164,0.009999999776482582,-0.029999999329447746,47.39775405493927,8.545600825796592,486.60748291015625,1,2
1731240701893581,0.00436079,-0.009174642,-0.0015872847,-0.1304841,0.2011512,9.70126,47.3977527,8.5456063,488.1,0.0,0.0,0.0,0.009999999776482582,47.397757946615904,8.545592280600612,484.2353210449219,1,2
1731240702294571,0.0024965825,-0.0051799016,-0.00025570474,-0.0957682,0.20474252,9.716824,47.3977527,8.5456063,488.092,0.0,0.009999999776482582,0.009999999776482582,0.029999999329447746,47.3977619902203,8.545585667338795,482.03411865234375,1,2
1731240702692774,0.0014313157,-0.0027830563,0.0018748222,-0.12210442,0.22389612,9.696471,47.3977527,8.5456062,488.108,0.0,0.009999999776482582,0.0,0.019999999552965164,47.39776219304945,8.545586093715556,480.5972595214844,1,2
1731240703091332,0.00036605122,-0.0054462166,-0.001320977,-0.11731602,0.19277148,9.656968,47.3977527,8.5456062,488.103,0.0,-0.019999999552965164,0.019999999552965164,0.0,47.39776026697548,8.545590789955897,487.16827392578125,1,2
1731240703491254,0.0038281628,-0.006511482,-0.0034514992,-0.1113305,0.17601208,9.698867,47.3977526,8.5456062,488.101,0.0,0.0,0.0,0.009999999776482582,47.39775765295041,8.545596472820295,489.2125244140625,1,2
1731240703891335,0.0022302663,-0.0046472694,-0.0023862359,-0.12569572,0.1760121,9.6857,47.3977527,8.5456063,488.1,0.0,0.0,0.009999999776482582,-0.009999999776482582,47.397755983666805,8.545599782507306,489.7950134277344,1,2
1731240704291340,0.0030292107,-0.0038483203,-0.0010546539,-0.17956525,0.15326716,9.697669,47.3977527,8.5456063,488.112,0.0,0.009999999776482582,0.0,0.03999999910593033,47.39775522035762,8.545601517388729,489.87127685546875,1,2
1731240704692124,0.0016976338,-0.0049135853,-0.0018536057,-0.117315985,0.15925263,9.668937,47.3977526,8.5456062,488.1,0.0,-0.009999999776482582,0.0,0.0,47.39775482428441,8.54560227014305,489.8006286621094,1,2
1731240705093444,0.0030292117,-0.008642009,0.00027693048,-0.1029508,0.17002657,9.673727,47.3977527,8.5456063,488.105,0.0,-0.009999999776482582,0.009999999776482582,0.029999999329447746,47.39775451644777,8.54560260450564,489.71221923828125,1,2
1731240705493724,0.0043607936,-0.0025167402,-0.0005220223,-0.107739195,0.17002657,9.710837,47.3977527,8.5456062,488.101,0.0,0.0,0.009999999776482582,-0.019999999552965164,47.39775426437323,8.545603277833669,489.6367492675781,1,2
